	urlDrugName	rating	effectiveness	sideEffects	condition	benefitsReview	sideEffectsReview	commentsReview
931	mevacor	1	Ineffective	Extremely Severe Side Effects	high cholesterol	NONE!!!!!	I began having very irregular heart rhythm within about 2 1/2 weeks of taking this medicine.  Feeling like I was going to pass out or maybe my heart would even stop beating.	"I began having very irregular heart rhythm within about 2 1/2 weeks of taking this medicine.  I began feeling like I was going to pass out or maybe my heart would stop beating & I would just keel over & die if I didn't immediately start moving around. I could be sitting or laying down in bed & these ""spells"" would come on out of the blue & very regularly.  I spent one night up all night laying on the couch because it was so bad that I was afraid that if I fell asleep I might not wake up. I tried to pretend it would go way at first but then made an appointment with my Dr. first & then a cardiologist, it was just too scary. My Dr. didn't believe that it was the medicine. By the time I could get in to see the cardiologist & have the heart monitor holster, echocardiogram etc. done I had been off the medicine for 2 weeks & the symptoms had lessened & of course did not appear while I was being tested. The Dr. thought I was crazy & that there was no way it was the medicine & that maybe I was having panic attacks.  I have never had a panic attack in my life & I have had similar heart rhythm symptoms with other meds that quit when I stopped taking them & I know my own body.  It WAS the lovastatin.  It took a year & a half before I started feeling normal again & didn't have these attacks come on sometimes.  I truly believe the lovastatin had an affect on my heart that took that long to get better. I will NEVER take another cholesterol med again that has the possible side affects of affecting muscles.  The heart is a muscle.  I also found that other people have had this same experience while taking statins while I was researching this on the internet.  Neither Dr. would even look at the article I printed out about it & it was even written by another Dr. who was researching statin side affects."
2245	zovirax	10	Highly Effective	No Side Effects	cold sores	"Shortened time span of cold sore. 
Sometimes alleviating symptoms entirely."	None	"If you take one pill as soon as you feel the tingle of a cold sore coming on, often it will not even appear at all. I know you might think, ""Maybe there wasn't really one in the first place."" But if you get cold sores regularly, you know. Sometimes if I couldn't get to the pills right away and a cold sore did appear, I would take a total of 4-5 pills in the course of the next 24 hours, and the sores would often be gone within 2 days instead of the usual 10. If you can't get to the pills within the first 24 hours, there is really not much good they can do after that, from my experience. This drug is kind of expensive--if I recall from before I had insurance, it was $50-75 for a bottle of Zovirax, but now they have a generic form so it is probably less. Regardless, this drug is worth its weight in gold."
3812	solodyn	1	Moderately Effective	Extremely Severe Side Effects	acne	While on the drug I did not have any large, red acne lesions.	"Lupus-like symptoms that were very severe:
light sensitivity
extreme fatigue
severe joint point
iritis (inflammation of the iris of the eye)
knee, wrist and finger pain that continues 4 months after stopping the drug
iritis flared again 4 months after stopping the drug"	"After I turned 38 my skin changed.  It became much oilier and I started having large acne lesions again around my chin.  This was especially true before a period or when I was under stress at work.  I decided to see a dermatologist as I was sick of the acne.  I started Yaz which was alright, as well as Retin-A.  This didn't seem to address the larger lesions so my dr. prescribed Solodyn.  Looking back now, I think the side-effect started in the first couple weeks, I just didn't identify them as related to the drug.  I thought I was suffering from carpal tunnel at work and could explain why my knees hurt so much.  I was just about to go to an orthopod when I decided to investigate the Solodyn more.  I read about the joint pain and Lupus-like symptoms, stopped the drug immediately and called my dr. to get in and see her.  She did some bloodwork and I had a positive ANA blood result (mid-positive, not low).  This is one indicator of lupus.  My dermatologist was adamant that the symptoms would go away now.  I called the office again a week later as I was still having strong side effects and was pretty worried.  I got a phone call back that basically said ""hello, hypochondriac, you do not have lupus.""  Then my eye pain started and my eye turned totally red.  I went to my GP who referred me to an opthalmologist who diagnosed iritis and I started 7 weeks of drops.  She also referred me to a rheumatologist who ran a number of tests and told me she's seen minocycline drugs do this to people a lot and she would never take one or have her children take one - great.  That's my saga.  Now dealing with another iritis flair up and a lot of pain in my left knee, 4 months after stopping the drug.  Please don't take this drug!!!"
501	paxil-cr	7	Considerably Effective	Mild Side Effects	ocd	"I felt reduced anxiety and compulsions;  less need for perfection;  better able to live with ""good enough""; less stress and happier; no more depression."	Ihad to stop nursing; constipation (must take 2 stool softeners per day); it killed my sex drive; skipping more than two days causes serious headaches, after three days of missed meds you go into withdrawal...much like heroin withdrawal.  Never have I been so ill or wanted to die.	Along with psychotherapy, I started taking prozac, with no effect after 2 months.  I switched to paxil with constipation and I needed at least 10 hours of sleep to come out of it each morning. I switched to selexa with no effect.  I then tried zyprexa  which caused me to gain 10 lbs in a month, gave me memory loss and I started lactating again.  By then, they had come out with paxil-cr (extended release) and I have been on that ever since.  I would like to switch to something that doesn't kill my sex drive and make me want to die when I go off of it, but I am afraid to stop without the proof of something else working better.
3339	clarithromycin	8	Highly Effective	Moderate Side Effects	sinus infection due to seasonal allergy	It cleared up the sinus infection within 2 days.	A bitter taste in mouth moticeable at night and especially in the morning. It went away as soon as I had something to drink. There was no bitter taste during the daytime. Also got a yeast infection on day 8. I still have to go through 5 days of medicine. I once took it on empty stomach and got acidity 1/2 hour later.	I was given Naproxen to control the inflammation and pain in my throat. I was also given Nasonex 2 puffs in each nostril daily. Claritin 10 mg once daily as antihistamine, which worked brilliantly. Also Clarithromycin 500 mg twice daily for 14 days. I stopped everything but the antibiotic and Claritin and am doing just fine.
4082	mobic	4	Moderately Effective	Severe Side Effects	anti inflamatory	When I have flareups of pain, taking the meloxicam with the cyclobenzoprine and a good nights sleep would leave me pain free in the morning.	Extremely lethargic the entire next day, even if I took the meloxicam by itself	I am supposed to take the tablet once a day, however due to how tired I get for the entire next day, I only take as needed.  I did not figure out the problem with this drug until my son had to take it for something and he was totally wiped out as well.  So, I really try to use as little as possible, even though I have a permanent prescription for it.
3518	lunesta	9	Considerably Effective	Mild Side Effects	insomnia	"Lunesta allowed me to have a restful nights sleep, every night, even sleeping through ""hot flashes.""  In combination with cutting out tv at least one hour before bed, a hot bath, and occassionally meditiation - I had a sound sleep and awoke rested and revived."	"I did not have the much talked about ""bad taste"" in my mouth.  I did have a ""hung over"" feeling but not often, and the feeling went away within 5 minutes of waking."	The treatment worked for me:  I enjoyed a good nights sleep and awoke rested and revived.  Any side effects were minimal and infrequent.  I have tried many other medications over the years and this one is the most satisfactory.
22	azulfidine	8	Considerably Effective	Mild Side Effects	colitis	reduced bleeding and inflamation initially, then less bloating, diareaha and nausea.	some sunlight sensitivity (sunburn more easily) and reduced sperm count.	began with two 500mg tablets three times a day by mouth.  reduced to twice a day after six months.  symptoms gradually subsided in the first three months.  on maintenance dose currently.
2037	protonix	6	Moderately Effective	No Side Effects	reflux	temporary relief of reflux symptoms, but severe breakthroughs occasionally still happen.  Have been taking the med for over 4 years but without taking it the symtpoms are definitely worse.  The symptoms were, lump in throat, hoarseness, painful speaking, burning throat, burping, fluids coming back into mouth, pain in the center of the chest.	I have never noticed any side effects from taking the protonix.  I had read the list, but appear to be having no trouble. I have been taking the medication for over four years and am still taking the medication.  I only notice that when I think the reflux is under control and I stop taking it, my symptoms return with a vengence.	I have had the endoscope one time and on two different occasions had the tube inserted into my nose to check the vocal chords to diagnose why I lose my voice.  My regular every day treatment dose is one 40 mg pill, but have been told at two different times by two different doctors to double up on that for two months.  I notice improvement but once regular dosage is resumed the symptoms usually flare up.
3794	keflex	9	Considerably Effective	No Side Effects	chronic sinusitis	You do not have to take this medicine with food and there is a much lower risk oh GI upset like you may experience with other antibiotics.	None	I took the Keflex after taking Augmentin for a week without results.  Also, being pregnant my OB/GYN felt more comfortable with me being on Keflex than Augmentin.  The treatment last longer than other antibiotics but seems to be more effective thus far.  No GI effects and no signs of yeast infection like a lot if women experience with antibiotics.
3055	seroquel	1	Marginally Effective	Extremely Severe Side Effects	bi-polar, depression	For the first two months it seemed to help, even though the first night on it was the scariest feeling ever. It made me motivated for those two months..	I ended up with severe anxiety and paranoia after taking this pill, something I had never had before taking it. After the initial 2 month honeymoon period, I felt like I was a zombie..I literally felt nothing at all, and if I was lucky enough to feel something, it would be anxiety. I'm STILL trying to reverse the effects of this drug, and I've been off it for over 3 years now. I would not recommend this to ANYONE, unless you're willing to ruin your personality & life for the sake of a two month good spell.	.
3341	optivar	6	Considerably Effective	Moderate Side Effects	dry, allergic eyes	relieved some of the itching	blurred vision for 90 seconds after administering; burning sensation	Was prescribed for 1 month for dry, itchy eyes.  I took Optivar for 5 days, then called the ophtamologist about the burning sensation.  He advised me to discontinue the Optivar and wrote a prescription for Alrex.
483	meridia	5	Marginally Effective	Mild Side Effects	weight loss	Definitely lifted mood. Helped me feel full and able to turn down unhealthy snacks.  Helped me eat reasonable portions.	Occasional headache.  Mild occasional insomnia	"Taken once a day it acts as a mood lifter and helps you feel full with less food.  It helped me take off a few pounds.  However, it is only a tool and patient has to be diligent about monitoring hunger and deciding to limit portions.  It's easy to ""eat around"" the drug and overeat. For short term weight loss or to help lose 10 -15 lbs it is great. VERY expensive...$125 for one months supply."
3654	retin-a	10	Considerably Effective	Moderate Side Effects	wrinkling aroung the eyes and lips	Yes very beneficial, although I will discontinue using the cream on face every night and maybe use every other night, until my skin adjusts. I also use the cream on the back of my hands and decollete area, love the results! I can see a HUGE difference in my hands already (probably about 1 month of consistant use) I have a few small sun spots that have lightened significantly, the skin on the back of my hands appears less elephant like ( tough, rough, wrinkling skin) and now appear more smooth, radiant and even toned.My decollete area has also seen great improvment, again more even toned, smooth, I have not seen a great deal of tightening, but I am very happy with the results thus far--- about 1 month of consistant use.	Some redness and peeling around the outside of my eyes and upper lip. Caused sensitivity when using other products....night creme, serums and sunscreen. I have read that these side affects are normal and part of the skin adjusting to the retin a.....after all that is what it is supposed to do...create a chemical change in the cell which promotes cellular turnover resulting in newer, firmer skin.	Daily apply about a pea size amount of the creme on my hand and sparingly apply to the orbital area, lips and forehead. I add additional creme to the back of my hands and rub vigourously ( rubbing the back of my hands together). I also apply a dime size to my neck and decollete area also rubbing, but not as vigourously. I generally do this every night after I cleanse, tone and add serums ( for pigment relief and building collegen) if I am feeling especially dry after applying the Tretinoina,I will also add a moisturizer.
3684	effexor-xr	1	Moderately Effective	Extremely Severe Side Effects	depression, anixety?	I felt alive again, starting to go out more, spent time doing things I enjoyed had energy to go to the gym for the first time in my life	"I started to date a married man, that lead to me becoming obsessed. he was my boss. I clinged to him because I felt alone. I then quit my job and tried to overdose on these meds.. drank a bottle of alcohol and then took several pills and sleeping pills. ended up in emergeny and then just went right off them without supervision. to this day I take nothing and Im still very depressed. Im seeing a doctor again and trying to figure out what to do. I tried to go back on them and felt instantly high for two days taking the lowest dose there was. almost like my brain said NO WAY are u takin this again.. 

I don't recommend taking this unless u have a good doctor . the doc that gave me this medication was a walk in clinic who knew nothing about me."	".. well I was taking this after breaking out of a relationship that I was in for 3 years. I was depressed living in a room that i rented off a friend. I was living before with the boyfriend in a home he owned but we bought together. I was working full-time and continued to do so after i moved but felt very alone and started to have panic attacks sorta in a mall.. trying to shop was impossible and I never left the house, only to work.. 
when i did go to the mall"
3319	dilantin	6	Considerably Effective	Moderate Side Effects	head injury  / brain trauma	The benefits were the prevention of seizures following brain surgery	Initially after surgery I was given Dilantin injections which were very painful. It felt like concentrated acid was being injected into my vains with a painful burning sensation that lasted several minutes after each injection. After 3 weeks I was changed to oral dilantin (100mg 3 times daily). So no more painful injections.	As mentioned above I was prescibed Dilantin to avoid seizures following brain surgery. I was given dilantin injections for a period of 3 weeks while in hospital and then it changed to taking oral dilantin (100mg 3 times daily)for a year. During the year I had one seizure after 6 months which happened on the night that I felt well enough to have some drinks with my friends for the first time since the operation. I didn't drink again for the following 6 months while on dilantin and did not have any more seizures. I stopped dilantin after 12 months and have had no seizures since
4114	chantix	9	Considerably Effective	Mild Side Effects	smoking cessation	helped me stop smoking.  I have tried to quit cold turking before and used other treatments, like laser and hypnosis.  Neither worked as well as chantix.  For the first time I was able to not have an urge to smoke.  I could see people around me smoking and it didnt cause me to want a cigarette	"dry mouth, vivid weird dreams, headache, nausea,  
sleep problems (trouble sleeping, or vivid, unusual, or strange dreams), 
constipation, gas,vomiting.  Ive heard that it also causes depression, and some people have suffered with suicidal thoughts.  People sometimes became agitated, it increased their depression level."	"After filling your prescription, you choose a quit date, and begin taking the medication one week before your quit Date.  You get a starter package with a pill(s) for the first weekYou take one tablet every morning for 3 days.  On the forth date you take one in the morning and one at night.  You can use a support plan, called getquit to help you during weeks 2-12.After the first week, you continue to take a pill in the morning and one at night, it comes in a different package then the one you used the 1st week and is a higher dosage.

 support plan. We offer one � it's called GETQUIT�. Enroll today 
Weeks 2�12 

On your quit date, you'll try to stop smoking completely. And you'll begin using the blue Continuing Week packages, which contain blue tablets. If you slip up and smoke, it's okay. Just keep taking CHANTIX and keep trying to quit 
For the next 12 weeks, you'll be taking two blue tablets a day, one in the morning and one in the evening, or as prescribed by your doctor.  You should tell your doc about any other perscriptions your taking and any other health problems before starting"
4135	chantix	1	Marginally Effective	Extremely Severe Side Effects	smoking cessation	helped somewhat in minimizing the cravings and anxiety while taking it but still required substantial will power to quit.  Considering the absolute hell I went through to quit I will probably never go back to smoking.	acute nausea, mental fog, vivid dreams, poor sleep quality, sore eyes, constipation, uncontrollable flatulence, euphoria, turned to dark depression, Psychosis NOS, Major Depressive Disorder, Suicidal ideation, self detrimental behaviour, emotional lability, agression, rage, panic attacks, hallucination, Somatoform Disorder, Delusional Parasitosis, Cholinaergic Prurritus, Hyperacusis, Severe sleep depervation; excessive dreaming, inability to sleep deeply, feeling half awake while sleeping, waking up with sore eyes., Brain Fog, lowered inhibitions, hair roots hurting, excessive hair loss, Irritable Bowel Syndrome, puffy bags under eyes, excessive weight gain, gingivitis, prostate pain, inability to feel orgasm, decreased ability to maintain and achieve erections, anhedonia.	"I took Champix in March of '08 and I am still suffering from most of the side effects of this poisonous drug.  I started to feel some of the bad effects (nausea, mental fog, trouble sleeping, sore eyes, constipation, gas) of Champix while taking it but I was determined to quit smoking.  For the first month I felt exceptionally good and I was telling everyone how great it was but the euphoria came crashing down and I went into a deep depression.   I was able to make it through the full 3 month course but when I stopped taking it is when I really got messed up. I developed Psychosis NOS, Major Depressive Disorder, suicidal, Emotional instability, aggression, rage, panic attacks, hallucination, Somatoform Disorder, Delusional Parasitosis (bug crawling sensations all over my body), Hyperacusis (sensitivity to certain frequencies of sound causing severe pain and pressure in my ears), Severe Insomnia, Memory Loss, Brain Fog, Lowered Inhibitions, Hair was constantly hurting all of the time and lost lots of it (27 year old male), Irritable Bowel Syndrome (started as extreme constipation and gas, fatigue, Severe Eye pain, unsightly puffy bags under eyes, excessive weight gain, gingivitis, prostate pain, black out and become out of control when drinking, decreased sexual pleasure and ability to maintain erections. I think that is everything!!! I went to the psych ward recently due to being suicidal and at a breaking point with my symptoms and I was treated like scum and given brain damaging neuroleptic (anti-psychotic) drugs against my will. I have made some small improvements since taking Champix but it looks like the nightmare will never truly end. If you are one of the many that gets burned by this medication be warned that the doctors will probably not be able to help you and will most likely deny that anything is even happening to you or that it is related to Champix and the side effects may be permanent.  I had a similar reaction in respect to rage and disinhibition from taking Zoloft when I was younger which altered my life substantially and now Champix has put the nail in the coffin.  Apparently these two drugs have a similar mechanism but Pfizer with held this information and marketed the drug in a deceiving way not mentioning any of the neuro-psychiatric and mind altering side effects of the drug when it first hit the market in order to boost sales of their poison.  The medical community has know for quite some time that dopamine plays a role in mood regulation and the fact the Champix targets the �pleasure centre� of the brain makes them grossly negligent for not investigating this further and informing consumers.  Many people including myself (I turned down a prescription of Zyban due to my experience with Zoloft) would not have taken it if we would have been informed of the risks and Pfizer knew that.  SHAME ON THEM FOR RUINING MY LIFE AND MANY OTHERS INCLUDING THOSE WHOM ENDED THE MISERY BY TAKING THEIR OWN LIFE.

YOU'VE BEEN WARNED"
981	macrobid	3	Marginally Effective	No Side Effects	uti	Symptoms were relieved quickly - within 5hrs of taking first dose.	I had no side effects, however the infection did not clear up.  I took all pills exactly as prescribed; finished last dose on Saturday and symptoms were back on Monday.	Perhaps should have been prescribed for longer and would have been more effective?
1822	yasmin	8	Considerably Effective	Mild Side Effects	acne	Acne improved within 2 weeks and skin considerably less oily within 1 week.	Increased apetite and sore breasts	1 tablet daily
2786	wellbutrin	10	Considerably Effective	Mild Side Effects	depression	I began taking the drug to control my Bulimia, which was the main symptom of my depression.  It also helped me stop smoking.	Very few.  I noticed right away that I had trouble sleeping from my high dosage.  My ddoctor then prescribed 40mg / day of Celexia to counteract the restlessness.	After about 1 month of taking the drug, the bingeing and purging decreased greatly.  (from maybe 4 or 5 times /day to about once a month, if that.  After 6 years of being on the medication, my Bulimia is under control and depression seems situational.
2387	synthroid	9	Highly Effective	No Side Effects	hypothyroidism	I had suffered from feeling tired all the time and my hair and skin seemed to be dull and dry.  I noticed a remarkable change in my energy level within just a short time ( 7-10 days).  Also the condition of my hair and skin seemed to improve.	I didn't notice any side effects.	I take the medication first thing in the morning, about 30 minutes to an hour before eating breakfast.
1048	elocon	10	Highly Effective	No Side Effects	eczema	The child, who was 3 at a time had huge eczema spots on both arms and legs. No other treatment worked before we started Elocon. With it the spots cleared very soon after starting treatment.	none to report	Put a tiny doze on each eczema spot for a week and any time thereafter with a new outbreak, which Elocon cleared after 2-3 applications.
467	genotropin	8	Considerably Effective	Mild Side Effects	myalgic encephalomyelitis/cfs	"Genotropin-aids in sleep cycle and helps counter the sagging skin & loss of muscle tone lost w/ this illness due to inactivity(see explain. below) also provides overall systemic support (deep sleep & activity stimulate release of hGH; both of which I've lost ability to do). Other P.M. meds address various stages of sleep; clonoapem=stage 1 or quieting down mind & trazadone helps me get deep sleep of which I was totally deprived (when hGH is suppose to be released) of as revealed in sleep study. I now actually fall asleep for more than 2 hr stretches (3-4 hrs now) and can get back to sleep (still need to refine regiment so I can get a normal nights sleep-of greatest importance for healing process). Detrol LA calms the hypersensitivity of the bladder was getting up 4-8 times each night to relieve very small amounts of urine (whole nervous system STUCK in over stimulated state) Gabapentin is a miracle for Restless Legs. A.M. meds. Adderall-some relief from ""brain fog""(typical w/ illness) but find it helps keep my blood sugar level more stable and don't reach for as many ""sugar fixes"" (always suffered from Hypoglycemia but more severe w/ ME/CFS) which results in 20+ lb. weight gain due to inability to be active(another time hGH is released)(post exertional malaise is cornerstone of illness i.e. any exertion beyond minimal causes greater level of illness-leaves me bedridden/sofa-bound for days-weeks-months @ a time) Levothyroxine(spell?)is for Hasimoto's disease (form of hypothyroid) Wellbutrin (now Budipropion[spell?]keeps physiological depression at bay. That's all I can think of for now:("	The combo of sleep meds leave me in a very grogged out state sometimes for hours if I'm not able to get 10-11 hours of sleep/wake time-rather staying/resting in bed between sleeping & waking. hGH has the side effect of water retention but being stuck in a chronic dehydrated state (fluid goes right through me as opposed to into cells)I suppose part of the reason for sagging, old dehydrated skin-been ill since age 36 and am describing a state beyond normal for age.	"I think I summed this up when describing treatment benefits.  But I'd like to add here that much of my daytime difficulties arise from how quickly exhaustion sets in from the mildest activity, sometimes just walking across the room. On the rare days I can get out a run local errands I come back so exhausted & in pain, it causes me to avoid doing so as much as possible.  Another issue is low blood volume-which means low oxygen available so have sudden and very high lactic acid levels from climbing a few flights of stairs or anything that demands immediate demanding effort. Low O2 to brain leaves me faint and lose train of thought, confusion, high agitation from over sensory load-like the brain short circuits. Could write EVEN more this is such a horribly cruel ""life-ending"" curse.  I am not dead but I lost my life back in 97."
3425	tazorac	8	Considerably Effective	Mild Side Effects	anti-aging	I used this drug as an alternative to Retin A. In that regards it worked admirably.  Retin A users have a period of almost 3 months where there skin (usually face) is tremendously red.  Tazorac has little of this.  I only would only get this about every 7 days or so and was cured easily with hydrocortisone.	As above, the drug has similar side effects to Retin-A, exept for the fact that they are far less frequent and far less severe.  As above, this effect only occurred about every 7 days or so and was cured easily with hydrocortisone. However, the results were completely worth it, as it eliminated many wrinkles in my skin, and the texture it left behind was much more cosmetically appealing.	I purchased a full 60 gram tube.  It was like $10 with my insurance.  I would first wash my face with Neutogena deep facial cleaner.  After letting dry 30 minutes, I would start to apply the Tazorac.  I would dispemse a pea-shaped amount on my finger and then dab my my cheeks, near my eyes, my chin, and my forehead.  Then rub in.  After about another 30 minutes, I would place on moisturizer.
2477	enbrel	10	Highly Effective	No Side Effects	rhuematoid arthritis	When I began treatment with Enbrel I had moderately severe rhuematoid arthritis with numerous inflamed joints and deformaties in small joints of hands and feet. I have been in remission for more than 2 years - no swollen joints, no progression of or new deformities and no morning fatigue.	None. There was a change in productdelivery to a weekly prefilled syringe. The preservative causes a stinging sensation at the injection site.	Weekly subcutaneous injection.
523	requip	1	Marginally Effective	Extremely Severe Side Effects	rls associated with sleep apnea	None	Began with Requip pack and gradually increased dosage.  Immediately felt more lethargic and irritable.  On my third week at 3mg. I could not keep any food down in the mornings.  My doctor said the sleepiness and irritability was not related to Requip.  After 10 days of vomiting in the a.m  I stopped the medication.  Feel much better even though my doctor insists I need it.	Gradually increased dosage.  After last overnight sleep study doctor increased by dosage to 3 mg.  That's when the severe nausea and then followed by vomiting.
2458	ecotrin	8	Moderately Effective	No Side Effects	pain	The treatment benefits from taking 300 milligrams of Bayer aspirin for headache pain were decreased pain. The positive effects for diminishing the pain were noticed in about half an hour to a full hour or so. The headache pain was nearly and sometimes even completely relieved with the Bayer. But, after a few hours or so, the pain would come back and I would have to take more of the drug.	No side effects were noticed.	The treatment would start as soon as pain was noticed. 300 milligrams of aspirin was taken for every headache episode.
4041	tri-luma	10	Highly Effective	Mild Side Effects	severe melasma	i has severe melasma to the cheeks, top of nose, chin and forehead. Dark spots where reduced to almost nothing!	mild peeling thats it but i was also putting on SPF30 non greasy suntan gel on my face three times a day. That is what the doctor recomended to decrease side effects from sun exposure. It worked!!	tri-luma at night very thin layer, less is better. in the am apply this SPF 30 gel at 8-12-4 q4 hours yes i know i thought that was alot but it worked. im a nurse and doctor explained the you get UV rays even from normal lights. i seen results 3 days into the treatment. the doctor told me to stop using all these other things for my face. it simple-wash my face with a nice facial cleasing bar of soap-apply triluma at night-SPF30 three times a day. minor peeling was nothing compared to the effects of this cream on my face its so pretty now and my husband loves it!!!!
3027	seroquel	4	Moderately Effective	Severe Side Effects	anxiety	Helped relieve anxiety	Dizziness, moodiness, anger and agitation	At first the medication seemed to work wonders in a very short period of time (a few days).  After about a week I began to get extremely moody - crying a lot, getting very angry and agitated.  It appeared that once the medication started building up in my system the side effects became worse and worse.  It was not worth it and I quit the medication within a few weeks.
3196	omnicef	2	Considerably Effective	Extremely Severe Side Effects	ear infection	It appeared to attack infection quickly.	We have tried this medication twice now due to ENT recommendation and both times have seen major behavioral changes. Usually around the second day our son has become very aggressive and uncontrollable. After stopping within a day or two he returns to normal.	Son has been on several antibiotics but this one has seemed to cause major behavioral changes. He became irritable, aggressive and uncontrollable. If you use this for your child please stay aware.
2523	motrin	2	Ineffective	Mild Side Effects	headache/migrain	Well, there were no benifets cuz it didn't even work for 4 hours after taking it. I was at school and during the lunch break, i took 1 pill. NO RESPONSE. Then after lunch I took another. Then I started getting sick, i had to leave class a few times because i thaught i was gonna puke. My mom picked me up and the pain would come and go and come and go consistantly. When I got home, after about an hour thirty, i felt completly better	Sickness, Vommiting, Sleepiness	I do not reccomend this med because it took 4 hours for a respose HOWEVER it makes the pain somewhat disappear.
3496	maxalt	10	Highly Effective	Mild Side Effects	migraines	Normally takes away a headache with an hour when absolutely nothing else will work.	Sometimes will give a feeling of tightness in the chest and some drowsiness.  If taken too often can cause rebound headaches.	You take one Maxalt at the onset of a migraine.  It can be repeated after two hours.
3821	estrasorb	10	Highly Effective	No Side Effects	menopausal hot flashes	Hot flashes were totally diminished.	None so far that I am aware of.	This product is a bio-identical cream rubbed onto the skin, containing 2.5 grams estradiol per package.  I was reluctant to take estrogen orally and this was a viable alternative.  The cream is rubbed into the thigh morning and evening for about 3 minutes.  Sunscreen is to be avoided in the area where the cream is applied since it can affect/prevent effective absorption.
708	accutane	10	Highly Effective	Severe Side Effects	acne	My acne went away. I had horrible cystic acne and it finally went away. It took a bit, but thats fine.	Extremely dry skin. Almost reptile like as i started the cycle. Really dry eyes and lips, had a problem wearing contacts.	I would go to dermatologist, he would look over face, would do some sort of vaccum facial to clear pores. He would ask how i was doing. I would cycle on and off the pills. Once done with pills I would come in a few times and have the vaccum facial that he had at the office. I loved that part!
23	alprazolam	10	Highly Effective	No Side Effects	anxiety	In low doses, this drug does exactly what it says it does - reduces symptons of anxiety.  It is especially helpful for very anxiety-producing situations such as speaking in front of groups, flying, and going into crowded places.  The drug produces a feeling of being more relaxed, and in extremely high anxiety situations (flying), if I take the full dose of .5 mg, it will sleep and wake up with no residual effects.	Drowsiness, if I take the high end of the prescribed dose, but in this case, that's the desired effect.	I can take up to .5 mg / day as needed.  I usually take .25 mg to .5 mg / day.
667	erythromycin	6	Moderately Effective	Moderate Side Effects	sinus infection	I was able to get rid of a nasty sinus infection that had been bothering me for over a week	I suddenly developed a rash across my stomach and itched for at least one - two hours after each dose.	"The doctor would prescribe Erythromycin for me every time I developed a sinus infection. (This had been going on since childhood). I would take a regimen of 4 tablets daily for a total of 7 days. I was also given Sudafed to help with the allergies I suffered from. Occassionally I was also given a saline solution to flush out my sinuses. The last time I was given this regimen however, I had an allergic reaction and began itching. I broke out in a rash within 45min. of taking the first dose. The doctor told us to ""keep an eye on it and if I had difficulty breathing or any other symptoms I was to rush to the ER."" Other wise he felt the symptoms to be within normal limits. I continued the regimen and was able to get rid of the infection but was given a different antibiotic the next time I got an infection."
405	restasis	8	Considerably Effective	Mild Side Effects	dry eye	Considerably reduced dry eye and the uncomfortable itchyness that comes with dry eye.  Eye Doctor felt the dry eye was 80% better within 30 days.	There is sometimes a burning and blurred vision. The sides effect were mild and last only minutes.	"Although Restasis has not and will not ""cure"" my dry eye and I will probably have to use it the rest of my life, it has considerably eleminated the uncormfortable symptoms."
1507	metoprolol	8	Moderately Effective	No Side Effects	high blood pressure	The benefits of taking this medication have been that my blood pressure is kept in a safe range.  I did not experience any negative side effects from taking this medication.  The medication came in the form of a small white pill that is easy to swallow.  I would recommend this medication for regulating blood pressure.	I did not experience any.	I was prescribed to take the medication twice a day in the morning and at night.
2959	zyban	1	Ineffective	Extremely Severe Side Effects	quit smoking	The treatment benefits were out of the window as i was prescribed to take diazepam whilst taking Zyban, Zyban advises you not to take Diazepam for instance as one of the contraindicated drugs.	I had experienced many profound side effects; starting with visual disturbances, sleeplessnes, weight loss, memory loss, major loss of appetite, irratable skin rashes, extreme anxiety, dehydration loss of motabilty & a severely nervous breakdown after three weeks resulting hospitallisation. I believe the damage caused is irreversable & would somehow like to know if anyone has came across anything like this in comparison & made any recovery.	The treatment details were to help you gradually stop smoking but the drug orders you to not smoke whilst taking the drug to the daily limit from up to two weeks, this is an illogical instruction as you might aswell of not taken the drug.
1252	catapres	10	Highly Effective	Mild Side Effects	high blood pressure	(clonidine)It assisted in lowering my blood pressure by causing me to have a more voluminous (not more frequent)urination,when urged.Also,it aided in- depressing my agonizing hot flashes.They came at sequential intervals at time of menses and would last in that manner until completion of menses.Thereafter,they were intermitten daily.	If this is the side effect.It would be, soon after taking the meds,There is a timed-released drowsy effect that occurs,within a matter of 15-20 minutes.This is the only so-called side effect that I've experienced.But,I guess,it is a matter of where you are and what's on your agenda during this side-effect.	I'm not completely sure what to write here,that would consist of fifty words.I take (Clonidine)-0.1mg 1 tab twice daily and (Lisinopril/HCTZ)-20mgs.12.5  1tab,twice daily.I've learned to take them with food.Earlier,when introduced to these meds,upon attending a Drs. appointment and having my blood pressure checked,the reading would be high  and I felt no internal or external symptoms.The inquiry would be have you taken your meds? and I had.So,it was suggested that I try administering them with food.Thereafter,no more high readings and entered a normalized phase.
1075	combipatch	1	Moderately Effective	Severe Side Effects	menopause symptoms	The benefits were to alleviate menopausal symptoms.  It did a very good job at that.	Severe bleeding to the point that I was four days away from a hysterectomy.  I stopped the HRT to prepare for the surgery and the bleeding subsided and eventually stopped. The hysterectomy was cancelled.	The patch was worn on the arm.
